ImageId,Label
1,1
2,0
3,8
4,8
5,2
6,5
7,0
8,2
9,0
10,2
11,5
12,5
13,5
14,0
15,3
16,3
17,2
18,1
19,8
20,0
21,8
22,1
23,1
24,5
25,6
26,4
27,2
28,6
29,4
30,6
31,6
32,4
33,4
34,1
35,5
36,8
37,5
38,4
39,4
40,6
41,6
42,6
43,4
44,8
45,5
46,6
47,7
48,2
49,5
50,4
51,6
52,7
53,8
54,3
55,7
56,2
57,1
58,2
59,3
60,5
61,4
62,1
63,6
64,1
65,0
66,0
67,1
68,9
69,1
70,5
71,4
72,5
73,6
74,7
75,2
76,7
77,2
78,8
79,2
80,2
81,5
82,6
83,1
84,0
85,8
86,1
87,4
88,3
89,5
90,6
91,0
92,0
93,5
94,5
95,1
96,3
97,3
98,4
99,7
100,3
101,0
102,5
103,1
104,1
105,7
106,3
107,0
108,5
109,0
110,7
111,0
112,0
113,5
114,2
115,1
116,6
117,1
118,1
119,4
120,2
121,2
122,6
123,2
124,5
125,5
126,2
127,8
128,6
129,4
130,3
131,4
132,5
133,4
134,0
135,0
136,0
137,2
138,1
139,5
140,5
141,3
142,2
143,3
144,4
145,4
146,5
147,6
148,5
149,1
150,2
151,4
152,2
153,4
154,5
155,4
156,2
157,6
158,3
159,6
160,7
161,2
162,0
163,8
164,6
165,1
166,2
167,6
168,5
169,4
170,0
171,2
172,6
173,8
174,5
175,1
176,3
177,6
178,8
179,1
180,2
181,4
182,7
183,4
184,2
185,4
186,8
187,1
188,1
189,5
190,0
191,6
192,1
193,4
194,6
195,5
196,0
197,8
198,6
199,5
200,8
201,1
202,8
203,1
204,7
205,8
206,0
207,8
208,4
209,5
210,2
211,0
212,8
213,2
214,5
215,8
216,1
217,1
218,6
219,3
220,4
221,2
222,2
223,1
224,2
225,3
226,0
227,4
228,5
229,1
230,0
231,0
232,5
233,8
234,1
235,6
236,4
237,2
238,2
239,7
240,0
241,7
242,6
243,2
244,8
245,5
246,4
247,8
248,6
249,3
250,5
251,8
252,6
253,1
254,5
255,6
256,6
257,6
258,2
259,4
260,8
261,6
262,2
263,3
264,4
265,6
266,1
267,6
268,0
269,4
270,1
271,5
272,1
273,5
274,3
275,2
276,4
277,1
278,5
279,8
280,4
281,0
282,7
283,1
284,4
285,5
286,2
287,6
288,5
289,8
290,8
291,4
292,6
293,6
294,8
295,8
296,6
297,3
298,0
299,2
300,3
301,5
302,8
303,7
304,2
305,5
306,5
307,7
308,1
309,4
310,4
311,7
312,4
313,8
314,0
315,0
316,3
317,6
318,4
319,1
320,2
321,5
322,1
323,2
324,9
325,7
326,4
327,3
328,1
329,7
330,6
331,5
332,2
333,1
334,2
335,0
336,8
337,0
338,2
339,5
340,5
341,6
342,5
343,1
344,8
345,5
346,0
347,4
348,5
349,2
350,1
351,6
352,6
353,6
354,1
355,7
356,7
357,7
358,8
359,5
360,5
361,8
362,5
363,3
364,7
365,4
366,2
367,2
368,5
369,1
370,5
371,4
372,7
373,8
374,8
375,6
376,5
377,8
378,4
379,2
380,6
381,5
382,4
383,5
384,4
385,2
386,5
387,1
388,1
389,2
390,6
391,1
392,6
393,3
394,8
395,5
396,1
397,1
398,1
399,6
400,1
401,8
402,6
403,5
404,7
405,1
406,1
407,8
408,2
409,5
410,4
411,5
412,0
413,4
414,1
415,2
416,8
417,1
418,1
419,5
420,7
421,8
422,2
423,5
424,5
425,1
426,1
427,3
428,6
429,8
430,6
431,4
432,8
433,8
434,2
435,5
436,1
437,2
438,8
439,4
440,1
441,6
442,3
443,6
444,4
445,5
446,4
447,5
448,1
449,2
450,8
451,4
452,6
453,7
454,8
455,5
456,8
457,1
458,3
459,4
460,5
461,3
462,6
463,4
464,6
465,5
466,1
467,6
468,4
469,6
470,1
471,1
472,4
473,8
474,4
475,5
476,0
477,1
478,2
479,1
480,1
481,4
482,7
483,1
484,1
485,6
486,8
487,4
488,7
489,2
490,6
491,6
492,4
493,1
494,4
495,4
496,0
497,4
498,2
499,2
500,0
501,1
502,4
503,8
504,7
505,1
506,7
507,5
508,2
509,0
510,3
511,6
512,5
513,8
514,6
515,3
516,3
517,2
518,6
519,4
520,3
521,7
522,8
523,0
524,6
525,6
526,1
527,4
528,1
529,1
530,6
531,0
532,5
533,3
534,7
535,4
536,4
537,1
538,5
539,4
540,3
541,7
542,2
543,6
544,1
545,0
546,6
547,0
548,8
549,2
550,1
551,1
552,3
553,1
554,5
555,1
556,0
557,6
558,5
559,4
560,2
561,0
562,2
563,1
564,1
565,5
566,5
567,4
568,1
569,1
570,4
571,5
572,5
573,5
574,4
575,0
576,4
577,7
578,2
579,4
580,4
581,5
582,1
583,6
584,5
585,8
586,1
587,6
588,5
589,7
590,8
591,7
592,7
593,8
594,4
595,2
596,5
597,5
598,5
599,0
600,1
601,1
602,1
603,6
604,1
605,5
606,2
607,7
608,4
609,5
610,4
611,6
612,4
613,3
614,2
615,2
616,4
617,6
618,0
619,0
620,8
621,7
622,4
623,8
624,4
625,1
626,7
627,7
628,3
629,5
630,6
631,5
632,1
633,7
634,5
635,1
636,4
637,6
638,6
639,7
640,3
641,6
642,6
643,8
644,5
645,4
646,5
647,7
648,5
649,1
650,7
651,4
652,8
653,5
654,0
655,7
656,2
657,4
658,2
659,2
660,6
661,2
662,2
663,4
664,0
665,4
666,8
667,1
668,2
669,4
670,5
671,7
672,8
673,4
674,3
675,5
676,6
677,8
678,1
679,5
680,0
681,6
682,8
683,7
684,6
685,1
686,7
687,7
688,5
689,8
690,8
691,2
692,6
693,0
694,1
695,7
696,3
697,2
698,8
699,6
700,7
701,4
702,2
703,4
704,0
705,5
706,0
707,5
708,3
709,5
710,8
711,2
712,8
713,1
714,5
715,8
716,5
717,2
718,2
719,6
720,2
721,8
722,2
723,0
724,0
725,1
726,1
727,5
728,4
729,7
730,1
731,6
732,1
733,2
734,2
735,8
736,6
737,4
738,5
739,2
740,5
741,4
742,7
743,2
744,3
745,2
746,9
747,5
748,6
749,8
750,5
751,5
752,8
753,4
754,4
755,4
756,4
757,6
758,1
759,1
760,8
761,7
762,1
763,4
764,0
765,3
766,0
767,0
768,5
769,1
770,8
771,4
772,5
773,0
774,1
775,5
776,4
777,3
778,1
779,2
780,1
781,3
782,6
783,5
784,6
785,4
786,5
787,4
788,4
789,5
790,5
791,5
792,0
793,4
794,0
795,4
796,3
797,1
798,6
799,8
800,6
801,1
802,1
803,3
804,2
805,1
806,8
807,8
808,5
809,4
810,1
811,5
812,4
813,6
814,3
815,3
816,5
817,1
818,8
819,6
820,4
821,2
822,1
823,0
824,0
825,1
826,8
827,0
828,3
829,1
830,1
831,6
832,5
833,4
834,9
835,2
836,8
837,5
838,1
839,2
840,4
841,1
842,8
843,0
